ISO,Country,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
AFG,Afghanistan,,,,,,,3.59,0.62,6.66,0.59,1.43,1.22,1.1,0.87,0.7,0.58,0.65,0.65,0.67,0.57,0.54,,,
ALB,Albania,,,,1.97,3.11,5.04,7.74,11.06,12.93,12.7,11.88,11.3,11.08,10.94,10.73,11.28,11.27,11.32,11.14,11.49,12.6,12.52,12.15,12.31
ARG,Argentina,6.6,5.91,3.33,2.48,2.66,3.14,3.8,4.67,4.86,4.89,4.83,5.35,5.88,6.19,5.72,6.35,5.96,6.91,6.57,5.37,5.57,4.53,4.07,4.04
AUS,Australia,70.18,73.88,81.4,90.62,96.79,101.34,106.11,109.17,107.25,112.2,111.11,109,109.88,112.17,115.84,120.93,123.66,122.9,122.07,118.82,122.17,117.36,110.62,109.81
AUT,Austria,45.28,45.58,46.44,46.71,48.68,51.72,52.23,51.44,51.98,53.26,54.36,53.01,51.79,50.97,50.24,50.14,50.23,49.54,48.93,48.92,52.48,51.53,48.23,44.35
BGD,Bangladesh,,,,,6.51,6.96,7.04,6.41,6.53,6.89,7.6,7.58,7.32,7.09,7.24,6.91,6.83,7.25,7.07,6.95,6.83,6.82,6.87,6.69
BEL,Belgium,40.79,39.11,39.35,39.54,40.52,43.3,45.52,47.09,49.87,52.28,52.99,55.39,55.68,56.36,58.17,58.4,58.74,59.33,59.65,60.96,65.78,62.57,60.34,58.55
BRA,Brazil,13.89,11.1,10.6,10.11,11.61,13.49,14.83,17.03,19.07,20.99,22.11,23.22,24.51,25.71,26.88,27.96,27.77,27.92,28.41,29.95,32.2,32.52,33.99,34.9
BGR,Bulgaria,2.38,3.34,4.49,7.4,11.44,15.93,19.16,25.5,29.75,29.47,28.64,26.35,25.36,25.48,25.07,23.24,22.64,22.55,22.96,22.98,24.29,23.84,22.47,
CMR,Cameroon,,1.91,1.65,1.94,1.81,1.8,1.92,1.94,2.02,2.24,3.21,3.38,3.85,3.68,3.82,3.48,3.4,3.58,4.14,4.45,,,,
CAN,Canada,61.34,62.77,64.94,66.82,69.61,72.26,75.9,80.73,83.47,94.91,94.86,93.99,95.26,95.4,95.14,100.71,104.18,103.6,103.04,103.52,112.18,106.43,101.55,102.21
CAF,Central African Republic,,1.78,2.14,2.05,2.4,2.21,2.75,2.26,1.71,1.81,2.89,3.8,4.47,5.12,5.15,4.44,4.9,4.28,3.38,3.36,3.18,2.79,2.2,
TCD,Chad,,1.26,1.19,1,0.8,0.59,0.53,0.55,1.01,0.79,0.96,1.04,1.47,1.79,1.78,1.92,2.27,2.12,2,2.39,2.66,3.2,,
CHL,Chile,,,22.63,23.5,25.17,26.33,26.39,29.03,32.63,33.91,32.58,33.81,35.34,37.28,39.37,41.26,42.43,43.8,45.84,48.12,48.27,44.92,46.28,46.34
CHN,China,,,,,,,10.81,18.76,17.95,23.53,27.56,28.11,29.94,33.3,35.81,39.06,44.74,48.87,52.3,55.85,61.61,62.09,62.32,63.67
COL,Colombia,9.71,9.29,10.21,9.76,11.24,12.95,14.25,16.48,16.42,17.51,18.7,20.09,21.62,22.94,24.15,26.87,26.25,26.96,27.65,29.08,32.38,30.07,28.47,27.15
