ISO,country_code,country_name,year,representation_est,local_dem_est,rights_est,pol_equal_est,gender_equal_est,soc_grp_equal_est,econ_equal_est
USA,840,United States,2023,0.701464276,0.840566248,0.720998737,0.612166588,0.70495985,0.603667524,0.589056199
CAN,124,Canada,2023,0.826953458,0.877920465,0.763388631,0.694160262,0.771980806,0.713941887,0.593037982
CUB,192,Cuba,2023,0.246225813,0.092193987,0.288333795,0.526574234,0.712445054,0.489172011,0.571391728
HTI,332,Haiti,2023,0,0.215785735,0.244367204,0.279661489,0.301359418,0.360472274,0.12354277600000001
DOM,214,Dominican Republic,2023,0.605546065,0.633703227,0.455969541,0.405632325,0.54728117,0.41362439,0.370168323
JAM,388,Jamaica,2023,0.752541466,0.844413539,0.666837986,0.631476951,0.79962599,0.613156672,0.600120696
TTO,780,Trinidad and Tobago,2023,0.737024857,0.746889572,0.638584715,0.609670175,0.660484894,0.608462843,0.596086795
BRB,052,Barbados,2023,0.699636934,0,0.692802429,0.689614454,0.769532098,0.678897788,0.672673042
MEX,484,Mexico,2023,0.588116645,0.66652066,0.407272925,0.415996954,0.560291321,0.437607458,0.328106723
GTM,320,Guatemala,2023,0.549299255,0.683179233,0.343451895,0.32566156,0.493129794,0.34299779,0.262817191
HND,340,Honduras,2023,0.526929487,0.650145581,0.423815319,0.426782755,0.539595698,0.443955132,0.369149502
SLV,222,El Salvador,2023,0.498885179,0.544310688,0.248758667,0.337201417,0.396117191,0.389779001,0.22288097
NIC,558,Nicaragua,2023,0.261477857,0.194472574,0.161888017,0.262254734,0.459637569,0.256381087,0.255926847
CRI,188,Costa Rica,2023,0.859173535,0.928058642,0.798399325,0.747361844,0.872413983,0.758677401,0.634515021
PAN,591,Panama,2023,0.747174555,0.739744203,0.560184829,0.473595579,0.531280401,0.49936585,0.404997275
COL,170,Colombia,2023,0.650652111,0.740785786,0.480541858,0.440178355,0.536783434,0.471744833,0.350843752
VEN,862,Venezuela,2023,0.252756147,0.291603321,0.289178343,0.387839229,0.599826876,0.385393018,0.348373066
GUY,328,Guyana,2023,0.534034407,0.463064561,0.545471616,0.491612857,0.610560894,0.467038486,0.542893475
SUR,740,Suriname,2023,0.667357535,NA,0.626338631,0.506300395,0.627218803,0.498580846,0.493533378
ECU,218,Ecuador,2023,0.658528038,0.663043232,0.485383613,0.46178641,0.55914517,0.483350785,0.395414914
PER,604,Peru,2023,0.681690717,0.894382942,0.480270794,0.432709511,0.638998188,0.422463721,0.394320417
BRA,076,Brazil,2023,0.723312941,0.830239137,0.564018057,0.587821934,0.641725574,0.595400339,0.547946967
BOL,068,Bolivia,2023,0.573844617,0.684162795,0.461323803,0.522656606,0.568954866,0.507930228,0.577701621
PRY,600,Paraguay,2023,0.556538035,0.638275558,0.443832571,0.358474086,0.507241559,0.363367354,0.343042349
CHL,152,Chile,2023,0.843334525,0.742286395,0.72251931,0.58951529,0.719864844,0.610442407,0.481665786
ARG,032,Argentina,2023,0.736712579,0.747037635,0.612996756,0.64264798,0.715759031,0.667517164,0.533053023
URY,858,Uruguay,2023,0.892812775,0.811178503,0.765575978,0.725981727,0.734107511,0.734446497,0.682903715
GBR,826,United Kingdom,2023,0.818012253,0.849426387,0.714602663,0.656222261,0.752760736,0.659329698,0.598726074
IRL,372,Ireland,2023,0.819675526,0.715418956,0.87379105,0.78676948,0.770452881,0.796979199,0.743515794
NLD,528,Netherlands,2023,0.859995526,0.840671713,0.819459237,0.815009138,0.88822698,0.785004839,0.825152714
BEL,056,Belgium,2023,0.852585293,0.923513045,0.925477874,0.848997371,0.860098246,0.861856594,0.764572409
LUX,442,Luxembourg,2023,0.783707063,0.588883131,0.926598588,0.797041618,0.757021716,0.751202648,0.927793053
FRA,250,France,2023,0.858688859,0.880062827,0.727928689,0.69608422700000006,0.877787706,0.660869885,0.692332011
CHE,756,Switzerland,2023,0.811030329,0.879123625,0.950073902,0.86432906,0.82322652,0.854611112,0.862078488
ESP,724,Spain,2023,0.803467922,0.758568053,0.829844411,0.762151846,0.890874096,0.742131937,0.723357059
PRT,620,Portugal,2023,0.81642196,0.915060666,0.690583717,0.677114096,0.745767299,0.69086683,0.600575385
DEU,276,Germany,2023,0.893107117,0.990945674,0.948704252,0.897058839,0.891053473,0.887812333,0.874303169
POL,616,Poland,2023,0.651853746,0.863361509,0.633289858,0.692258992,0.682772666,0.67452228,0.739548884
AUT,040,Austria,2023,0.809296998,0.878790042,0.802309901,0.766317333,0.841065853,0.730076624,0.816718082
HUN,348,Hungary,2023,0.543474168,0.634649626,0.585494084,0.555453367,0.66889583,0.529226968,0.593036359
CZE,203,Czechia,2023,0.826454478,0.82202266,0.890690201,0.808911585,0.727298175,0.787756674,0.882390092
SVK,703,Slovakia,2023,0.795279132,0.793912989,0.725005834,0.644195606,0.683361788,0.650514554,0.604746836
ITA,380,Italy,2023,0.856208959,0.855875507,0.81953881,0.75551224,0.78436812,0.740502154,0.763517838
MLT,470,Malta,2023,0.71985749,0.77480917,0.740436502,0.72783031,0.760306466,0.695659952,0.793562192
ALB,008,Albania,2023,0.590169567,0.607981368,0.643623486,0.583267176,0.673839392,0.598799154,0.498248998
MNE,499,Montenegro,2023,0.576402467,0.509325628,0.61579973,0.614217819,0.528567645,0.633481145,0.626076096
MKD,807,North Macedonia,2023,0.583781426,0.615008492,0.540184153,0.608405646,0.616540078,0.621286342,0.58231552
HRV,191,Croatia,2023,0.789389052,0.835497729,0.640416895,0.594843609,0.73155751,0.561154525,0.637788117
SRB,688,Serbia,2023,0.423200035,0.449132523,0.582007446,0.586440733,0.705625022,0.569322667,0.587823573
BIH,070,Bosnia and Herzegovina,2023,0.492576658,0.601860249,0.504297892,0.494967362,0.585691897,0.489691547,0.496958618
XKX,NA,Kosovo,2023,0.619719985,0.786134679,0.529852515,0.529768515,0.483550369,0.550230726,0.523256054
SVN,705,Slovenia,2023,0.811471857,0.85261753,0.798319588,0.748336293,0.88789012,0.708078078,0.770048206
GRC,300,Greece,2023,0.777170955,0.917550272,0.722312991,0.655967504,0.721506041,0.637483416,0.680853802
CYP,196,Cyprus,2023,0.762766561,0.800968756,0.774111678,0.644868167,0.678419624,0.621041021,0.699731309
BGR,100,Bulgaria,2023,0.681746418,0.595481783,0.628956324,0.627655569,0.761823436,0.607312547,0.625504029
MDA,498,Moldova,2023,0.667053895,0.696821901,0.598821233,0.660066013,0.774494457,0.650985759,0.621350741
ROU,642,Romania,2023,0.714627557,0.622562944,0.610506031,0.562062384,0.632359902,0.58426317,0.482657602
RUS,643,Russia,2023,0.300045269,0.247768403,0.314399139,0.405780015,0.474417462,0.416383811,0.397798005
EST,233,Estonia,2023,0.856551555,0.892587677,0.820644636,0.743352181,0.867654591,0.680564427,0.849591921
LVA,428,Latvia,2023,0.753497995,0.844774884,0.801404217,0.770657863,0.898270686,0.705557447,0.863319678
